Date,Time,Crime_Type,Latitude,Longitude,Address,District,Description,Status,Response_Time_Minutes
2024-01-11,11:47:53,Motor Vehicle Theft,41.8894,-87.5767,696 Cedar St,East,Reported motor vehicle theft incident at 696 Cedar St.,Under Investigation,58
2024-01-12,01:40:40,Aggravated Assault,41.8027,-87.6418,6291 Park Ln,Uptown,Reported aggravated assault incident at 6291 Park Ln.,Under Investigation,51
2024-01-12,02:51:31,Arson,41.8284,-87.5998,872 Main St,Downtown,Reported arson incident at 872 Main St.,Closed,35
2024-01-12,07:34:38,Disorderly Conduct,41.8793,-87.7287,5904 Washington Blvd,Suburban,Reported disorderly conduct incident at 5904 Washington Blvd.,Under Investigation,14
2024-01-12,18:21:13,Public Intoxication,41.8382,-87.5594,2299 Main St,Suburban,Reported public intoxication incident at 2299 Main St.,Under Investigation,43
2024-01-12,22:48:04,Arson,41.7912,-87.6234,7830 Park Ln,Suburban,Reported arson incident at 7830 Park Ln.,Closed,8
2024-01-13,07:13:54,Arson,41.8892,-87.5885,3485 Washington Blvd,East,Reported arson incident at 3485 Washington Blvd.,Active,36
2024-01-13,07:30:27,Property Theft,41.7866,-87.5557,7661 Oak Ave,East,Reported property theft incident at 7661 Oak Ave.,Closed,16
2024-01-13,07:39:03,Drug Possession,41.8116,-87.6674,6472 Washington Blvd,Downtown,Reported drug possession incident at 6472 Washington Blvd.,Under Investigation,41
2024-01-13,08:27:38,Robbery,41.9148,-87.65,6466 Washington Blvd,Uptown,Reported robbery incident at 6466 Washington Blvd.,Closed,11
2024-01-13,15:23:16,Burglary,41.8349,-87.6938,4242 Cedar St,West,Reported burglary incident at 4242 Cedar St.,Closed,6
2024-01-13,21:33:10,Aggravated Assault,41.8289,-87.5692,9495 Oak Ave,North,Reported aggravated assault incident at 9495 Oak Ave.,Active,35
2024-01-14,05:39:04,Burglary,41.8868,-87.7099,2736 Broadway,Downtown,Reported burglary incident at 2736 Broadway.,Under Investigation,37
2024-01-14,07:11:29,Violent Disorder,41.8798,-87.6171,8099 Washington Blvd,South,Reported violent disorder incident at 8099 Washington Blvd.,Cleared by Arrest,23
2024-01-14,09:40:55,Motor Vehicle Theft,41.7932,-87.5366,386 Maple Dr,Suburban,Reported motor vehicle theft incident at 386 Maple Dr.,Under Investigation,18
2024-01-14,10:39:54,Burglary,41.8024,-87.6248,7157 Broadway,East,Reported burglary incident at 7157 Broadway.,Active,5
2024-01-14,18:52:18,Larceny,41.7811,-87.5907,1059 Cedar St,South,Reported larceny incident at 1059 Cedar St.,Active,20
2024-01-14,21:23:00,Arson,41.8641,-87.7002,2511 Broadway,Central,Reported arson incident at 2511 Broadway.,Cleared by Arrest,34
2024-01-14,22:44:33,Homicide,41.9393,-87.5782,5817 Broadway,North,Reported homicide incident at 5817 Broadway.,Closed,21
2024-01-15,19:10:19,Vandalism,41.7792,-87.6058,3697 Park Ln,West,Reported vandalism incident at 3697 Park Ln.,Cleared by Arrest,37
2024-01-15,20:07:54,Motor Vehicle Theft,41.8978,-87.707,7342 Oak Ave,South,Reported motor vehicle theft incident at 7342 Oak Ave.,Active,31
2024-01-16,04:04:21,Homicide,41.9416,-87.5912,3876 Elm St,Central,Reported homicide incident at 3876 Elm St.,Active,6
2024-01-16,04:30:03,Larceny,41.7977,-87.5437,3614 Park Ln,East,Reported larceny incident at 3614 Park Ln.,Active,8
2024-01-16,05:56:38,Public Intoxication,41.8105,-87.6683,3331 Maple Dr,Suburban,Reported public intoxication incident at 3331 Maple Dr.,Active,45
2024-01-16,16:57:22,Loitering,41.8648,-87.5473,931 Oak Ave,Central,Reported loitering incident at 931 Oak Ave.,Under Investigation,36
2024-01-16,18:37:08,Motor Vehicle Theft,41.9413,-87.5929,9767 Cedar St,East,Reported motor vehicle theft incident at 9767 Cedar St.,Cleared by Arrest,14
2024-01-17,05:44:51,Burglary,41.96,-87.5856,3760 Main St,West,Reported burglary incident at 3760 Main St.,Closed,5
2024-01-17,07:11:04,Arson,41.8714,-87.5885,7055 Park Ln,South,Reported arson incident at 7055 Park Ln.,Under Investigation,6
2024-01-17,10:57:14,Robbery,41.9109,-87.5886,7817 Elm St,Uptown,Reported robbery incident at 7817 Elm St.,Closed,54
2024-01-17,11:54:52,Simple Assault,41.964,-87.6457,1869 Washington Blvd,Downtown,Reported simple assault incident at 1869 Washington Blvd.,Closed,23
2024-01-17,12:15:14,Violent Disorder,41.7998,-87.6785,1698 Broadway,South,Reported violent disorder incident at 1698 Broadway.,Cleared by Arrest,12
2024-01-17,13:20:32,Arson,41.937,-87.6313,9681 Elm St,South,Reported arson incident at 9681 Elm St.,Active,55
2024-01-17,21:00:38,Narcotics Distribution,41.9086,-87.6045,9917 Park Ln,Central,Reported narcotics distribution incident at 9917 Park Ln.,Closed,57
2024-01-17,23:16:24,Narcotics Distribution,41.9471,-87.6205,3066 Elm St,South,Reported narcotics distribution incident at 3066 Elm St.,Under Investigation,6
2024-01-18,01:05:58,Arson,41.7954,-87.6658,4371 Washington Blvd,South,Reported arson incident at 4371 Washington Blvd.,Under Investigation,33
2024-01-18,02:58:29,Property Theft,41.8637,-87.5314,8221 Maple Dr,South,Reported property theft incident at 8221 Maple Dr.,Closed,11
2024-01-18,09:10:29,Vandalism,41.9677,-87.5795,5246 Washington Blvd,Uptown,Reported vandalism incident at 5246 Washington Blvd.,Cleared by Arrest,42
2024-01-18,11:24:25,Simple Assault,41.9588,-87.7158,7503 Broadway,North,Reported simple assault incident at 7503 Broadway.,Under Investigation,32
2024-01-18,11:33:56,Arson,41.9069,-87.6407,2632 Broadway,South,Reported arson incident at 2632 Broadway.,Active,7
2024-01-18,13:59:49,Violent Disorder,41.8083,-87.5986,7930 Park Ln,Central,Reported violent disorder incident at 7930 Park Ln.,Active,11
2024-01-18,14:12:08,Burglary,41.9372,-87.6142,2478 Elm St,North,Reported burglary incident at 2478 Elm St.,Under Investigation,58
2024-01-18,15:21:00,Vandalism,41.7864,-87.6323,598 Main St,North,Reported vandalism incident at 598 Main St.,Cleared by Arrest,13
2024-01-18,16:50:42,Burglary,41.8258,-87.7118,9434 Broadway,East,Reported burglary incident at 9434 Broadway.,Closed,43
2024-01-18,19:41:27,Vandalism,41.8217,-87.535,1750 Maple Dr,Uptown,Reported vandalism incident at 1750 Maple Dr.,Closed,46
2024-01-18,22:23:01,Motor Vehicle Theft,41.9326,-87.6023,4548 Oak Ave,West,Reported motor vehicle theft incident at 4548 Oak Ave.,Closed,45
2024-01-19,00:09:24,Property Theft,41.8956,-87.612,5945 Park Ln,North,Reported property theft incident at 5945 Park Ln.,Cleared by Arrest,14
2024-01-19,05:20:00,Fraud,41.829,-87.6294,8095 Washington Blvd,South,Reported fraud incident at 8095 Washington Blvd.,Active,35
2024-01-19,05:29:37,Larceny,41.8519,-87.6007,123 Maple Dr,East,Reported larceny incident at 123 Maple Dr.,Closed,39
2024-01-19,08:18:48,Burglary,41.8667,-87.6854,4760 Park Ln,Uptown,Reported burglary incident at 4760 Park Ln.,Active,59
2024-01-19,08:39:26,Arson,41.8349,-87.7221,2331 Park Ln,North,Reported arson incident at 2331 Park Ln.,Cleared by Arrest,55
2024-01-19,13:38:53,Arson,41.9572,-87.6248,4293 Cedar St,Downtown,Reported arson incident at 4293 Cedar St.,Closed,18
2024-01-19,14:00:47,Larceny,41.856,-87.5669,9064 Cedar St,West,Reported larceny incident at 9064 Cedar St.,Under Investigation,17
2024-01-19,16:19:35,Violent Disorder,41.8407,-87.6964,7124 Washington Blvd,North,Reported violent disorder incident at 7124 Washington Blvd.,Closed,11
2024-01-20,02:27:05,Property Theft,41.9583,-87.7278,144 Broadway,East,Reported property theft incident at 144 Broadway.,Under Investigation,16
2024-01-20,04:24:07,Vandalism,41.869,-87.7123,9495 Cedar St,Suburban,Reported vandalism incident at 9495 Cedar St.,Closed,21
2024-01-20,06:11:08,Disorderly Conduct,41.8628,-87.6194,2456 Maple Dr,South,Reported disorderly conduct incident at 2456 Maple Dr.,Under Investigation,32
2024-01-20,06:18:59,Disorderly Conduct,41.8242,-87.5982,4018 Cedar St,Downtown,Reported disorderly conduct incident at 4018 Cedar St.,Under Investigation,39
2024-01-20,06:37:36,Public Intoxication,41.8088,-87.627,5251 Main St,East,Reported public intoxication incident at 5251 Main St.,Closed,60
2024-01-20,16:05:31,Property Theft,41.8276,-87.6033,8301 Elm St,North,Reported property theft incident at 8301 Elm St.,Closed,11
2024-01-20,21:07:18,Loitering,41.8009,-87.6358,579 Park Ln,Downtown,Reported loitering incident at 579 Park Ln.,Under Investigation,28
2024-01-20,22:52:01,Drug Trafficking,41.7838,-87.6737,8538 Park Ln,Central,Reported drug trafficking incident at 8538 Park Ln.,Under Investigation,13
2024-01-21,01:54:28,Larceny,41.7976,-87.6618,9830 Washington Blvd,South,Reported larceny incident at 9830 Washington Blvd.,Under Investigation,46
2024-01-21,04:09:39,Arson,41.7784,-87.5636,5863 Elm St,Uptown,Reported arson incident at 5863 Elm St.,Closed,6
2024-01-21,13:18:38,Narcotics Distribution,41.8395,-87.6751,5899 Oak Ave,West,Reported narcotics distribution incident at 5899 Oak Ave.,Under Investigation,17
2024-01-21,16:41:56,Burglary,41.967,-87.5963,1420 Elm St,Downtown,Reported burglary incident at 1420 Elm St.,Cleared by Arrest,14
2024-01-21,19:45:19,Narcotics Distribution,41.906,-87.708,7397 Washington Blvd,Downtown,Reported narcotics distribution incident at 7397 Washington Blvd.,Cleared by Arrest,38
2024-01-21,21:50:46,Narcotics Distribution,41.8565,-87.5672,4666 Park Ln,West,Reported narcotics distribution incident at 4666 Park Ln.,Closed,19
2024-01-21,22:02:10,Public Intoxication,41.8828,-87.5815,5236 Oak Ave,West,Reported public intoxication incident at 5236 Oak Ave.,Closed,5
2024-01-22,08:13:58,Fraud,41.7896,-87.6276,2535 Oak Ave,Suburban,Reported fraud incident at 2535 Oak Ave.,Under Investigation,32
2024-01-22,14:01:42,Motor Vehicle Theft,41.8249,-87.6167,409 Washington Blvd,East,Reported motor vehicle theft incident at 409 Washington Blvd.,Under Investigation,42
2024-01-22,15:12:13,Violent Disorder,41.9282,-87.5695,2835 Elm St,East,Reported violent disorder incident at 2835 Elm St.,Cleared by Arrest,38
2024-01-22,18:18:04,Loitering,41.8543,-87.5641,3763 Cedar St,Central,Reported loitering incident at 3763 Cedar St.,Closed,35
2024-01-22,22:53:06,Aggravated Assault,41.8705,-87.6873,6744 Maple Dr,Downtown,Reported aggravated assault incident at 6744 Maple Dr.,Cleared by Arrest,59
2024-01-23,00:17:11,Homicide,41.9179,-87.6768,419 Main St,North,Reported homicide incident at 419 Main St.,Under Investigation,55
2024-01-23,01:23:02,Fraud,41.9504,-87.6678,2693 Oak Ave,Central,Reported fraud incident at 2693 Oak Ave.,Cleared by Arrest,54
2024-01-23,02:03:22,Vandalism,41.8965,-87.5347,6840 Main St,East,Reported vandalism incident at 6840 Main St.,Closed,22
2024-01-23,03:04:06,Drug Possession,41.8645,-87.5373,3978 Park Ln,Downtown,Reported drug possession incident at 3978 Park Ln.,Closed,51
2024-01-23,05:41:57,Fraud,41.9176,-87.5334,4765 Maple Dr,West,Reported fraud incident at 4765 Maple Dr.,Closed,34
2024-01-23,08:04:18,Robbery,41.911,-87.5881,9902 Elm St,Central,Reported robbery incident at 9902 Elm St.,Closed,20
2024-01-23,09:00:48,Larceny,41.8245,-87.6015,8783 Cedar St,West,Reported larceny incident at 8783 Cedar St.,Under Investigation,39
2024-01-23,09:19:58,Motor Vehicle Theft,41.8204,-87.7237,2751 Oak Ave,Downtown,Reported motor vehicle theft incident at 2751 Oak Ave.,Cleared by Arrest,29
2024-01-23,21:01:41,Narcotics Distribution,41.8097,-87.5314,6133 Maple Dr,Central,Reported narcotics distribution incident at 6133 Maple Dr.,Closed,45
2024-01-23,21:10:50,Homicide,41.9558,-87.7228,9065 Washington Blvd,East,Reported homicide incident at 9065 Washington Blvd.,Active,45
2024-01-24,05:12:39,Burglary,41.85,-87.6356,6394 Main St,East,Reported burglary incident at 6394 Main St.,Closed,10
2024-01-24,09:19:46,Larceny,41.7986,-87.5806,4708 Main St,Downtown,Reported larceny incident at 4708 Main St.,Under Investigation,34
2024-01-24,15:21:45,Property Theft,41.8267,-87.6367,1883 Elm St,South,Reported property theft incident at 1883 Elm St.,Cleared by Arrest,56
2024-01-24,16:13:17,Property Theft,41.9029,-87.5939,3596 Maple Dr,East,Reported property theft incident at 3596 Maple Dr.,Under Investigation,14
2024-01-24,21:31:16,Burglary,41.9637,-87.6706,6823 Main St,Uptown,Reported burglary incident at 6823 Main St.,Closed,39
2024-01-24,22:22:40,Disorderly Conduct,41.9002,-87.6488,1750 Park Ln,Uptown,Reported disorderly conduct incident at 1750 Park Ln.,Under Investigation,32
2024-01-25,00:27:33,Burglary,41.9743,-87.6113,1489 Broadway,Suburban,Reported burglary incident at 1489 Broadway.,Closed,33
2024-01-25,06:32:44,Drug Trafficking,41.8249,-87.7268,4117 Main St,Central,Reported drug trafficking incident at 4117 Main St.,Cleared by Arrest,45
2024-01-25,10:39:20,Aggravated Assault,41.7849,-87.7133,6039 Elm St,Central,Reported aggravated assault incident at 6039 Elm St.,Cleared by Arrest,9
2024-01-25,12:21:08,Property Theft,41.8469,-87.5885,1892 Maple Dr,Central,Reported property theft incident at 1892 Maple Dr.,Under Investigation,60
2024-01-25,16:45:17,Aggravated Assault,41.932,-87.5317,2013 Broadway,East,Reported aggravated assault incident at 2013 Broadway.,Active,43
2024-01-25,17:05:28,Drug Possession,41.8224,-87.6961,5425 Maple Dr,Downtown,Reported drug possession incident at 5425 Maple Dr.,Active,13
2024-01-25,18:22:24,Drug Possession,41.7906,-87.6172,2407 Oak Ave,South,Reported drug possession incident at 2407 Oak Ave.,Cleared by Arrest,25
2024-01-25,19:38:28,Larceny,41.9099,-87.7002,5408 Park Ln,Central,Reported larceny incident at 5408 Park Ln.,Closed,51
2024-01-25,22:05:41,Property Theft,41.7999,-87.6651,4650 Broadway,South,Reported property theft incident at 4650 Broadway.,Closed,40
2024-01-26,01:33:58,Narcotics Distribution,41.831,-87.6518,8339 Park Ln,Central,Reported narcotics distribution incident at 8339 Park Ln.,Under Investigation,43
2024-01-26,04:34:24,Disorderly Conduct,41.8418,-87.6824,6998 Cedar St,Uptown,Reported disorderly conduct incident at 6998 Cedar St.,Closed,16
2024-01-26,06:08:07,Property Theft,41.8724,-87.5435,6682 Maple Dr,South,Reported property theft incident at 6682 Maple Dr.,Under Investigation,27
2024-01-26,08:43:52,Robbery,41.8078,-87.7057,5692 Washington Blvd,North,Reported robbery incident at 5692 Washington Blvd.,Closed,17
2024-01-26,12:38:10,Traffic Violation,41.96,-87.7078,623 Elm St,Suburban,Reported traffic violation incident at 623 Elm St.,Under Investigation,43
2024-01-26,16:58:02,Simple Assault,41.8011,-87.6753,9025 Maple Dr,Suburban,Reported simple assault incident at 9025 Maple Dr.,Closed,18
2024-01-26,17:52:52,Motor Vehicle Theft,41.8498,-87.6601,7955 Maple Dr,Downtown,Reported motor vehicle theft incident at 7955 Maple Dr.,Active,8
2024-01-26,18:50:09,Burglary,41.9483,-87.6251,5140 Elm St,Uptown,Reported burglary incident at 5140 Elm St.,Cleared by Arrest,9
2024-01-26,19:34:50,Robbery,41.9742,-87.6013,7591 Washington Blvd,Suburban,Reported robbery incident at 7591 Washington Blvd.,Under Investigation,40
2024-01-27,03:39:37,Homicide,41.8855,-87.6044,8602 Broadway,South,Reported homicide incident at 8602 Broadway.,Closed,27
2024-01-27,04:08:27,Robbery,41.9243,-87.7125,7390 Elm St,West,Reported robbery incident at 7390 Elm St.,Cleared by Arrest,6
2024-01-27,06:05:34,Arson,41.8033,-87.5407,8110 Cedar St,Central,Reported arson incident at 8110 Cedar St.,Closed,24
2024-01-27,11:27:37,Simple Assault,41.8241,-87.6182,5620 Maple Dr,Uptown,Reported simple assault incident at 5620 Maple Dr.,Cleared by Arrest,7
2024-01-27,16:18:30,Larceny,41.9391,-87.5961,7988 Main St,South,Reported larceny incident at 7988 Main St.,Active,18
2024-01-27,18:22:50,Homicide,41.8748,-87.5961,2134 Broadway,East,Reported homicide incident at 2134 Broadway.,Closed,40
2024-01-28,10:52:04,Robbery,41.7888,-87.7187,9914 Oak Ave,Central,Reported robbery incident at 9914 Oak Ave.,Closed,28
2024-01-28,12:11:29,Homicide,41.9182,-87.6135,3768 Washington Blvd,South,Reported homicide incident at 3768 Washington Blvd.,Cleared by Arrest,51
2024-01-28,12:12:09,Disorderly Conduct,41.832,-87.5729,8892 Maple Dr,Uptown,Reported disorderly conduct incident at 8892 Maple Dr.,Active,9
2024-01-28,13:49:54,Drug Trafficking,41.8865,-87.5506,4286 Washington Blvd,Uptown,Reported drug trafficking incident at 4286 Washington Blvd.,Active,16
2024-01-28,17:22:20,Narcotics Distribution,41.9047,-87.6229,4358 Broadway,Uptown,Reported narcotics distribution incident at 4358 Broadway.,Under Investigation,34
2024-01-28,18:23:30,Vandalism,41.7805,-87.6454,582 Elm St,East,Reported vandalism incident at 582 Elm St.,Cleared by Arrest,24
2024-01-28,22:24:11,Fraud,41.8688,-87.5489,7528 Elm St,North,Reported fraud incident at 7528 Elm St.,Cleared by Arrest,18
2024-01-28,23:59:33,Arson,41.8576,-87.6191,6771 Oak Ave,West,Reported arson incident at 6771 Oak Ave.,Cleared by Arrest,24
2024-01-29,03:17:22,Robbery,41.8209,-87.7285,837 Oak Ave,Uptown,Reported robbery incident at 837 Oak Ave.,Cleared by Arrest,60
2024-01-29,07:41:45,Property Theft,41.9713,-87.6007,9727 Oak Ave,North,Reported property theft incident at 9727 Oak Ave.,Closed,21
2024-01-29,11:51:54,Homicide,41.8876,-87.7065,6385 Broadway,Downtown,Reported homicide incident at 6385 Broadway.,Active,14
2024-01-30,00:26:27,Aggravated Assault,41.7845,-87.5306,5635 Main St,Downtown,Reported aggravated assault incident at 5635 Main St.,Cleared by Arrest,10
2024-01-30,03:16:36,Burglary,41.7808,-87.618,535 Elm St,West,Reported burglary incident at 535 Elm St.,Cleared by Arrest,20
